"";"CIDENTIT";"BPOLICFA";"BPARENTE";"BQUELGRA";"SEXE";"AGE";"STATUT";"PROFCONJ";"NOMBENF";"DIPLOME";"ENFANCE";"ANTECED";"PAOUGA";"CHOIXPA";"EMPLANT";"PROFPERE";"PROFMERE";"DATEPOL";"INFOANT";"CONTANT";"NATCONT";"INFOCONC";"AUTCONC";"QUELCONC";"CONCREUS";"INFOPOST";"ACTIPOST";"RAISENT";"AUTCHOIX";"DELINQ";"VIGILANT";"NOIRSANC";"NOIRFRIC";"NOIREMPL";"NOIRCHOM";"PLAITMET";"DEPLAIT";"COMAUT";"MOTIFAUT";"RASPEUR";"MISPREM";"SORTECOL";"SPORTEVE";"QUARTDIF";"PREMQUAL";"PREMDEF";"ORDREINI";"FORCRECA";"FORCAV";"FORCPROT";"FORCRESP";"ARMRECAL";"ARMVEHIC";"ARMPROT";"ARMRESP";"IMAGDLP";"IMAINSP";"IMPORMET";"PAVAGUES";"EFFIREGL";"RESPMISS";"SECINTER";"AGRESSIV";"PUBOPIN";"CRITPUB";"CRITPERS";"CAUSCRIT";"INFOPUB";"MEDIAIMA";"CONSENT";"RAISCONS";"PORTUNIF";"FUTURMET";"MUTATION";"SPECIALI";"POSEVALI";"ENVCONC";"REALICAR";"CONCULT";"PROBCONF";"ATTENSUP";"QUALSUP";"FAUTCOLL";"SITUEXTR";"EVOLIMAG";"POLMUNIC";"SECUPRIV";"EMPLMUNI";"DEONTOL";"ATTFORM";"FORMCOM";"COMPRIS";"COMSOC";"COMGEND";"COMMAGIS";"COMEDUC";"COMTRAV";"COMPROF";"ATTPROF";"MIEUPREP";"BONFORM";"RAISBONN";"SORTIE";"FORMCAR";"AUTSTAG";"STAGJUST";"STAGSOC";"STAGPRIS";"STAGREIN";"STAGPOL";"STAGFIRM";"STAGGEND";"STAGACTI";"GRCONJ";"GRIND";"GRPERE";"GRMERE";"profconj";"conj_pol";"emplant";"profpere";"profmere";"mere_pol";"pere_pol";"ant_pol";"cont_ami";"cont_fam";"cont_aut";"exp_ant";"contant";"par_pol"
"131";1264;"non";"non concerné";"non concerné";"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"baccalauréat technique";"dans un DOM ou TOM";"au chômage";"non concerné";"non concerné";"Ouvriers qualifiés de la manutention, du magasinage et du tr";"Non réponse";"Employés civils et agents de service de la fonction publique";"orientation ultérieure (après service militaire)";"oui";"un ou des policiers";"un ami personnel ou de votre famille";"relations policiers ou non (famille, parents...)";"oui";"concours civils + para-policiers";"échec";"non";"vous avez continué à travailler (emploi, stage, intérim)";"parce qu'on est utile";"oui";"à la démission des parents";"les drogués";"pas vraiment d'accord";"pas vraiment d'accord";"tout à fait d'accord";"pas du tout d'accord";"on a des responsabilités";"on est mal vu";"non";"métier différent à cause des contraintes professionnelles";"rassurer les honnêtes gens";"faire respecter la loi";"une tâche comme une autre";"une responsabilité importante de la police";"multiplie les patrouilles";"d'être ouvert aux autres";"d'être malhonnête";"je m'en tiendrai aux ordres reçus";"oui";"non";"non";"non";"non";"non";"oui";"non";"l'homme à tout faire de la Police Nationale";"je ne sais pas ce qu'il fait";"de travailler dans une bonne ambiance";"pas d'accord avec lui";"souvent";"respecter scurpuleusement le règlement";"sont à moduler selon les situations";"plutôt d'accord";"plutôt indifférente";"brutalité";"tendance à parler aux gens comme s'ils étaient délinquants";"les préjugés du public";"oui, parce que c'est normal dans un régime démocratique";"plutôt favorable";"oui";"oui pour fonction sociale (utilité, sécurité)";"vous est indifférent";"gardien de la paix";"oui";"oui";"non";"oui";"oui";"officier de paix";"les syndicats";"qu'ils vous associent à leurs décisions";"qu'il ait le sens du dialogue avec ses subordonnés";"éviter que le public sache";"oui";"s'est plutôt améliorée";"c'est un renfort appréciable";"utile, la police ne peut pas tout faire";"municipale";"un ensemble de normes professionnelles";"des renseignements sur la façon de se comporter avec les pub";"oui";"non";"oui";"oui";"oui";"oui";"oui";"oui";"une solide expérience professionnelle";"surveiller, patrouiller, contrôler, verbaliser";"oui";"non concerné";"à la Police de l'Air et des Frontières";"aborder des situations ou des technologies nouvelles";"inutiles";"non concerné";"non concerné";"non concerné";"non concerné";"non concerné";"non concerné";"non concerné";"oui";"Pas de conjoint";"Ouvriers";"Non réponse";"Employés";36;"Non";28;1;24;"Non";NA;"Non";"Oui";"Non";0;"Non";1;"Non"
"132";1265;"non";"non concerné";"non concerné";"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"baccalauréat d'enseignement général";"dans une ville petite ou moyenne en métropole";"au service national comme appelé";"P.A.";"curiosité à l'égard du métier";"Pas d'emploi antérieur";"Ouvriers non qualifiés";"Employés de commerce";"collège";"oui";"ni policiers, ni gendarmes";"non concerné";"publicité";"oui";"autres concours Police Nationale (équivalents ou supérieurs)";"non concerné";"oui";"vous avez effectué votre service national";"parce qu'on a la sécurité de l'emploi";"oui";"à la détérioration de la situation économique et sociale";"les trafiquants de drogue";"pas vraiment d'accord";"plutôt d'accord";"pas vraiment d'accord";"pas du tout d'accord";"on a beaucoup de contacts humains";"on n'a pas de vie de famille";"non";"métier différent à cause des contraintes professionnelles";"faire peur aux délinquants";"secourir les personnes en danger";"une tâche comme une autre";"une responsabilité importante de la police";"multiplie les patrouilles";"d'avoir les nerfs solides";"de coller aux ordres";"je prendrai des initiatives";"oui";"non";"oui";"non";"non";"non";"oui";"non";"l'homme à tout faire de la Police Nationale";"un spécialiste de la police judiciaire";"de faire un travail intéressant";"d'accord avec lui";"souvent";"respecter scurpuleusement le règlement";"sont à moduler selon les situations";"plutôt pas d'accord";"plutôt défavorable";"inefficacité";"inefficacité";"l'utilisation que font les pouvoirs publics de la police";"oui, parce que c'est normal dans un régime démocratique";"plutôt objective";"non";"oui pour nature et activités du travail";"vous gêne un peu";"gardien de la paix";"oui";"oui";"oui";"oui";"non";"inspecteur";"la famille";"qu'ils vous laissent entièrement libres";"qu'il soit près de ses hommes";"éviter que la hiérarchie le sache";"non";"n'a pas changé";"c'est normal que les maires se préoccupent de sécurité dans ";"le développement d'une police des pauvres et d'une police de";"l'une ou l'autre";"un instrument de contrôle supplémentaire";"des rencontres avec des policiers de terrain ou des récits s";"oui";"oui";"oui";"oui";"non";"oui";"non";"oui";"des qualités pédagogiques";"remplir des papiers, écrire des rapports";"non";"par manque d'expérience du terrain";"en Police Urbaine";"remettre à jour des connaissances oubliées";"pendant la formation initiale";"non";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"Pas de conjoint";"Pas d'emploi antérieur";"Ouvriers";"Employés";36;"Non";38;35;27;"Non";"Non";"Non";"Non";"Non";0;"Oui";0;"Non"
"133";1266;"non";"non concerné";"non concerné";"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"BEPC";"à la campagne en métropole";"détenteur d'un emploi";"non concerné";"non concerné";"Ouvriers qualifiés de la manutention, du magasinage et du tr";"Ouvriers qualifiés de type industriel";"Personnels des services directs aux particuliers";"enfance";"oui";"un ou des policiers";"un ami personnel ou de votre famille";"relations policiers ou non (famille, parents...)";"non";"non concerné";"non concerné";"non";"vous avez effectué votre service national";"parce qu'on contribue au maintien de l'ordre public";"non";"à l'afflux d'immigrés";"les trafiquants de drogue";"plutôt d'accord";"pas vraiment d'accord";"plutôt d'accord";"pas vraiment d'accord";"on a beaucoup de contacts humains";"on n'a pas de vie de famille";"oui";"métier comme un autre";"rassurer les honnêtes gens";"secourir les personnes en danger";"une tâche comme une autre";"une responsabilité importante de la police";"multiplie les patrouilles";"d'être ouvert aux autres";"d'être malhonnête";"je m'en tiendrai aux ordres reçus";"oui";"non";"oui";"non";"oui";"non";"oui";"non";"l'homme à tout faire de la Police Nationale";"un spécialiste de la police judiciaire";"de travailler dans une bonne ambiance";"d'accord avec lui";"souvent";"mener à bien la mission";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt d'accord";"plutôt défavorable";"application pointilleuse des réglements";"tendance à parler aux gens comme s'ils étaient délinquants";"non réponse";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"oui";"non réponse";"vous plaît";"policier";"oui";"oui";"non";"oui";"oui";"inspecteur";"la famille";"qu'ils vous laissent prendre des initiatives";"qu'il soit près de ses hommes";"éviter que le public sache";"oui";"s'est plutôt améliorée";"c'est normal que les maires se préoccupent de sécurité dans ";"dangereux car ils ne sont pas formés";"privé";"un instrument de contrôle supplémentaire";"des renseignements sur l'organisation et le fonctionnement d";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"des qualités pédagogiques";"accueillir, écouter, renseigner les gens";"oui";"non concerné";"en Police Urbaine";"aborder des situations ou des technologies nouvelles";"pendant la formation continue";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"Pas de conjoint";"Ouvriers";"Ouvriers";"Employés";36;"Non";28;31;28;"Non";"Non";"Non";"Oui";"Non";0;"Non";1;"Non"
"134";1268;"non";"non concerné";"non concerné";"féminin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"BP, BEP";"à Paris ou région parisienne";"détenteur d'un emploi";"non concerné";"non concerné";"Employés civils et agents de service de la fonction publique";"Employés administratifs d'entreprise";"Inactifs divers (autres que retraités)";"lycée";"oui";"ni policiers, ni gendarmes";"non concerné";"publicité";"non";"non concerné";"non concerné";"oui";"vous avez continué à travailler (emploi, stage, intérim)";"pour le déroulement de carrière";"oui";"à la détérioration de la situation économique et sociale";"les trafiquants de drogue";"pas vraiment d'accord";"plutôt d'accord";"pas du tout d'accord";"pas vraiment d'accord";"on se trouve dans des situations variées";"on ne voit que le mauvais côté des gens";"non";"métier différent à cause des contraintes professionnelles";"rassurer les honnêtes gens";"secourir les personnes en danger";"une tâche comme une autre";"à la police d'assurer le service d'ordre";"multiplie les patrouilles";"d'être ouvert aux autres";"d'être craintif";"je prendrai des initiatives";"non";"non";"non";"non";"non";"oui";"non";"non";"un simple exécutant";"un spécialiste de la police judiciaire";"de faire un travail intéressant";"pas d'accord avec lui";"souvent";"mener à bien la mission";"sont à moduler selon les situations";"plutôt d'accord";"plutôt défavorable";"inefficacité";"inefficacité";"le comportement de certains policiers";"oui, parce que c'est normal dans un régime démocratique";"plutôt favorable";"oui";"oui pour nature et activités du travail";"vous plaît";"gardien de la paix";"oui";"oui";"oui";"oui";"oui";"inspecteur";"les amis";"qu'ils vous laissent prendre des initiatives";"qu'il ait le sens du dialogue avec ses subordonnés";"éviter que le public sache";"non";"n'a pas changé";"c'est normal que les maires se préoccupent de sécurité dans ";"normal que chacun protège ses biens";"privé";"un ensemble de normes professionnelles";"des rencontres avec des policiers de terrain ou des récits s";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"des qualités pédagogiques";"prêter assistance";"non";"à cause de la variété des tâches, des circonstances, des pub";"à la Police de l'Air et des Frontières";"acquérir une spécialisation";"pendant la formation continue";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"Pas de conjoint";"Employés";"Employés";"Inactifs";36;"Non";17;25;40;"Non";"Non";"Non";"Non";"Non";0;"Non";0;"Non"
"135";1269;"oui";"père ou mère";"gardiens et gradés";"féminin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"BEPC";"dans une grande ville de province en métropole";"détenteur d'un emploi";"non concerné";"non concerné";"Employés de commerce";"Cadres administratifs et commerciaux d'entreprise";"Gardiens, gradés et enquêteurs";"collège";"oui";"un ou des policiers";"un membre de votre famille";"relations policiers ou non (famille, parents...)";"non";"non concerné";"non concerné";"oui";"vous avez continué à travailler (emploi, stage, intérim)";"parce qu'on est utile";"oui";"à la détérioration de la situation économique et sociale";"les trafiquants de drogue";"plutôt d'accord";"pas vraiment d'accord";"plutôt d'accord";"pas vraiment d'accord";"on a beaucoup de contacts humains";"on s'ennuie, c'est monotone";"oui";"métier comme un autre";"rassurer les honnêtes gens";"secourir les personnes en danger";"une tâche comme une autre";"une responsabilité importante de la police";"multiplie les patrouilles";"d'être ouvert aux autres";"d'être malhonnête";"je prendrai des initiatives";"oui";"non";"oui";"non";"non";"oui";"non";"non";"la vitrine de la police";"un spécialiste de la police judiciaire";"de pouvoir compter sur les collègues";"d'accord avec lui";"rarement";"mener à bien la mission";"sont à moduler selon les situations";"plutôt pas d'accord";"plutôt défavorable";"injustice, favoritisme";"tendance à parler aux gens comme s'ils étaient délinquants";"le comportement de certains policiers";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"oui";"oui pour fonction sociale (utilité, sécurité)";"vous est indifférent";"fonctionnaire de police";"oui";"oui";"oui";"oui";"oui";"inspecteur";"la famille";"qu'ils vous associent à leurs décisions";"qu'il ait le sens du dialogue avec ses subordonnés";"éviter que le public sache";"oui";"s'est plutôt dégradée";"cela entretient la confusion";"utile, la police ne peut pas tout faire";"ni l'une, ni l'autre";"un ensemble de normes professionnelles";"des rencontres avec des policiers de terrain ou des récits s";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"une solide expérience professionnelle";"surveiller, patrouiller, contrôler, verbaliser";"oui";"non concerné";"à la Police de l'Air et des Frontières";"aborder des situations ou des technologies nouvelles";"pendant la formation continue";"oui";"oui";"oui";"oui";"oui";"non";"oui";"oui";"Pas de conjoint";"Employés";"Cadres et professions intellectuelles supérieures";"Policiers, militaires";36;"Non";20;13;43;"Oui";"Non";"Non";"Non";"Oui";0;"Non";1;"Non"
"136";1270;"non";"non concerné";"non concerné";"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"baccalauréat d'enseignement général";"dans une grande ville de province en métropole";"au service national comme appelé";"non concerné";"non concerné";"Pas d'emploi antérieur";"Professions intermédiaires administratives et commerciales d";"Inactifs divers (autres que retraités)";"orientation ultérieure (après service militaire)";"oui";"un ou des gendarmes";"une connaissance lointaine";"publicité";"non";"non concerné";"non concerné";"oui";"vous avez effectué votre service national";"pour le déroulement de carrière";"oui";"à la détérioration de la situation économique et sociale";"les jeunes";"plutôt d'accord";"pas du tout d'accord";"tout à fait d'accord";"plutôt d'accord";"on se trouve dans des situations variées";"on est mal vu";"non";"métier différent à cause des contraintes professionnelles";"faire peur aux délinquants";"secourir les personnes en danger";"une tâche comme une autre";"aux organisateurs de prendre les mesures nécessaires";"multiplie les patrouilles";"d'être honnête";"d'être malhonnête";"je m'en tiendrai aux ordres reçus";"oui";"non";"oui";"non";"non";"non";"oui";"non";"le spécialiste de la voie publique";"un spécialiste de la police judiciaire";"de faire un travail intéressant";"non réponse";"souvent";"mener à bien la mission";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt pas d'accord";"plutôt défavorable";"inefficacité";"inefficacité";"l'influence des médias (presse, télévision, radio)";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"oui";"oui pour d'autres raisons et réponses inclassables";"vous gêne un peu";"policier";"oui";"oui";"oui";"oui";"oui";"inspecteur";"les amis";"qu'ils vous laissent prendre des initiatives";"qu'il ait le sens du dialogue avec ses subordonnés";"non réponse";"oui";"s'est plutôt dégradée";"c'est normal que les maires se préoccupent de sécurité dans ";"dangereux car ils ne sont pas formés";"ni l'une, ni l'autre";"un ensemble de normes professionnelles";"autres (généralement toutes ces attentes, ""devenir un bon fl";"oui";"non";"oui";"oui";"oui";"oui";"oui";"oui";"des qualités pédagogiques";"surveiller, patrouiller, contrôler, verbaliser";"non";"par manque d'expérience du terrain";"en Police Urbaine";"aborder des situations ou des technologies nouvelles";"pendant la formation initiale";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"Pas de conjoint";"Pas d'emploi antérieur";"Professions intermédiaires";"Inactifs";36;"Non";38;19;40;"Non";"Non";"Non";"Non";"Non";1;"Non";1;"Non"
"137";1271;"oui";"oncle, tante, cousins, aïeux";"officiers et inspecteurs";"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"BP, BEP";"à la campagne en métropole";"au service national comme appelé";"P.A.";"anticipation de carrière";"Pas d'emploi antérieur";"Employés civils et agents de service de la fonction publique";"Employés civils et agents de service de la fonction publique";"lycée";"oui";"un ou des policiers";"un ami personnel ou de votre famille";"publicité";"non";"non concerné";"non concerné";"oui";"vous avez effectué votre service national";"parce qu'on est utile";"oui";"à la détérioration de la situation économique et sociale";"les immigrés";"plutôt d'accord";"pas vraiment d'accord";"tout à fait d'accord";"pas vraiment d'accord";"on a des responsabilités";"on ne peut pas être assez efficace";"non";"métier différent à cause des contraintes professionnelles";"rassurer les honnêtes gens";"protéger les institutions républicaines";"une charge anormale qui devrait être confiée à d'autres";"une responsabilité importante de la police";"multiplie les patrouilles";"d'être ouvert aux autres";"d'être passif";"je prendrai des initiatives";"oui";"non";"oui";"non";"non";"non";"oui";"non";"le spécialiste de la voie publique";"un spécialiste de la police judiciaire";"de faire un travail intéressant";"d'accord avec lui";"souvent";"mener à bien la mission";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt pas d'accord";"plutôt indifférente";"application pointilleuse des réglements";"application pointilleuse des réglements";"l'utilisation que font les pouvoirs publics de la police";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"non";"ne conseille pas";"vous gêne un peu";"fonctionnaire de police";"oui";"oui";"oui";"oui";"oui";"officier de paix";"la famille";"qu'ils vous laissent prendre des initiatives";"qu'il ait le sens du dialogue avec ses subordonnés";"éviter que le public sache";"oui";"s'est plutôt améliorée";"c'est un renfort appréciable";"utile, la police ne peut pas tout faire";"l'une ou l'autre";"un ensemble de normes professionnelles";"des connaissances administratives et juridiques";"oui";"non";"oui";"oui";"oui";"oui";"non";"oui";"des qualités pédagogiques";"prêter assistance";"non";"par manque d'expérience du terrain";"en Police Urbaine";"avoir une promotion";"pendant la formation continue";"oui";"oui";"non";"oui";"oui";"non";"oui";"oui";"Pas de conjoint";"Pas d'emploi antérieur";"Employés";"Employés";36;"Non";38;23;24;"Non";"Non";"Non";"Oui";"Non";0;"Oui";1;"Non"
"138";1272;"oui";"oncle, tante, cousins, aïeux";"gardiens et gradés";"masculin";"entre 21 et 25 ans";"célibataire vivant en couple";"Pas de conjoint";"aucun";"baccalauréat d'enseignement général";"dans une ville petite ou moyenne en métropole";"au service national comme appelé";"P.A.";"curiosité à l'égard du métier";"Pas d'emploi antérieur";"Techniciens";"Inactifs divers (autres que retraités)";"lycée";"oui";"des policiers et des gendarmes";"un membre de votre famille";"relations policiers ou non (famille, parents...)";"non";"non concerné";"non concerné";"oui";"vous avez effectué votre service national";"parce qu'on est utile";"non";"à la tolérance de la justice";"les autres truands";"pas vraiment d'accord";"plutôt d'accord";"plutôt d'accord";"pas vraiment d'accord";"on a beaucoup de contacts humains";"on s'use nerveusement";"oui";"métier comme un autre";"rassurer les honnêtes gens";"secourir les personnes en danger";"une tâche comme une autre";"aux organisateurs de prendre les mesures nécessaires";"se fasse discrète";"d'être ouvert aux autres";"de coller aux ordres";"je prendrai des initiatives";"oui";"non";"non";"non";"non";"non";"non";"non";"l'homme à tout faire de la Police Nationale";"un collègue";"de pouvoir compter sur les collègues";"d'accord avec lui";"souvent";"mener à bien la mission";"sont à moduler selon les situations";"plutôt pas d'accord";"plutôt défavorable";"inefficacité";"injustice, favoritisme";"l'influence des médias (presse, télévision, radio)";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"oui";"oui pour nature et activités du travail";"vous gêne un peu";"gardien de la paix";"oui";"oui";"non";"oui";"non";"BCT (concours de recrutement des brigadiers)";"la famille";"qu'ils vous laissent prendre des initiatives";"qu'il ait le sens du dialogue avec ses subordonnés";"éviter que le public sache";"oui";"n'a pas changé";"c'est normal que les maires se préoccupent de sécurité dans ";"normal que chacun protège ses biens";"privé";"un ensemble de normes professionnelles";"des rencontres avec des policiers de terrain ou des récits s";"oui";"oui";"oui";"oui";"oui";"oui";"non";"oui";"des connaissances techniques et juridiques";"remplir des papiers, écrire des rapports";"non";"à cause de la variété des tâches, des circonstances, des pub";"en Police Urbaine";"aborder des situations ou des technologies nouvelles";"pendant la formation continue";"oui";"oui";"oui";"oui";"oui";"non";"oui";"oui";"Pas de conjoint";"Pas d'emploi antérieur";"Professions intermédiaires";"Inactifs";36;"Non";38;20;40;"Non";"Non";"Non";"Non";"Oui";0;"Oui";2;"Non"
"139";1273;"non";"non concerné";"non concerné";"masculin";"moins de 21 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"CAP";"dans une ville petite ou moyenne en métropole";"détenteur d'un emploi";"P.A.";"curiosité à l'égard du métier";"Ouvriers qualifiés de type artisanal";"Employés civils et agents de service de la fonction publique";"Inactifs divers (autres que retraités)";"service militaire";"oui";"un ou des policiers";"un membre de votre famille";"relations policiers ou non (famille, parents...)";"non";"non concerné";"non concerné";"oui";"vous avez continué à travailler (emploi, stage, intérim)";"parce qu'on est utile";"non";"à l'afflux d'immigrés";"les trafiquants de drogue";"pas vraiment d'accord";"pas vraiment d'accord";"plutôt d'accord";"plutôt d'accord";"on a beaucoup de contacts humains";"on est mal vu";"oui";"métier comme un autre";"faire peur aux délinquants";"secourir les personnes en danger";"une tâche comme une autre";"une responsabilité importante de la police";"multiplie les patrouilles";"d'être honnête";"d'être malhonnête";"je m'en tiendrai aux ordres reçus";"oui";"non";"non";"non";"non";"non";"oui";"non";"le spécialiste de la voie publique";"un spécialiste de la police judiciaire";"de faire un travail intéressant";"pas d'accord avec lui";"rarement";"mener à bien la mission";"sont à moduler selon les situations";"plutôt pas d'accord";"plutôt favorable";"application pointilleuse des réglements";"application pointilleuse des réglements";"l'influence des médias (presse, télévision, radio)";"non, cela risque d'être préjudiciable à l'activité de la pol";"plutôt défavorable";"oui";"non réponse";"vous plaît";"gardien de la paix";"oui";"oui";"oui";"oui";"oui";"officier de paix";"les amis";"qu'ils vous laissent prendre des initiatives";"qu'il soit près de ses hommes";"appliquer le règlement et le sanctionner";"oui";"n'a pas changé";"c'est dangereux, il faudrait les dissoudre";"normal que chacun protège ses biens";"ni l'une, ni l'autre";"un ensemble de normes professionnelles";"des techniques policières";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"des connaissances techniques et juridiques";"remplir des papiers, écrire des rapports";"non";"par manque d'expérience du terrain";"en CRS";"vous tenir au courant de l'évolution de la législation et de";"pendant la formation continue";"oui";"oui";"oui";"oui";"oui";"non";"oui";"oui";"Pas de conjoint";"Ouvriers";"Employés";"Inactifs";36;"Non";26;23;40;"Non";"Non";"Non";"Non";"Oui";0;"Oui";1;"Non"
"140";1274;"non";"non concerné";"non concerné";"masculin";"moins de 21 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"CAP";"dans une ville petite ou moyenne en métropole";"au chômage";"P.A.";"curiosité à l'égard du métier";"Ouvriers non qualifiés de type industriel";"Ingénieurs et cadres techniques d'entreprise";"Inactifs divers (autres que retraités)";"service militaire";"oui";"un ou des policiers";"un ami personnel ou de votre famille";"relations policiers ou non (famille, parents...)";"non";"non concerné";"non concerné";"oui";"vous avez effectué votre service national";"parce qu'on contribue au maintien de l'ordre public";"non";"à l'afflux d'immigrés";"les immigrés";"pas vraiment d'accord";"tout à fait d'accord";"pas du tout d'accord";"plutôt d'accord";"on se trouve dans des situations variées";"on ne peut pas être assez efficace";"oui";"métier comme un autre";"rassurer les honnêtes gens";"faire respecter la loi";"une tâche comme une autre";"à la police d'assurer le service d'ordre";"multiplie les patrouilles";"d'être honnête";"de prendre trop d'initiatives";"je m'en tiendrai aux ordres reçus";"oui";"non";"oui";"non";"non";"non";"oui";"non";"le spécialiste de la voie publique";"un spécialiste de la police judiciaire";"de travailler dans une bonne ambiance";"d'accord avec lui";"rarement";"respecter scurpuleusement le règlement";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt pas d'accord";"plutôt défavorable";"inefficacité";"application pointilleuse des réglements";"les missions de la police par nature";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"oui";"oui pour nature et activités du travail";"vous est indifférent";"fonctionnaire";"oui";"oui";"oui";"oui";"oui";"inspecteur";"la hiérarchie";"qu'ils vous associent à leurs décisions";"qu'il soit près de ses hommes";"appliquer le règlement et le sanctionner";"oui";"n'a pas changé";"cela entretient la confusion";"normal que chacun protège ses biens";"privé";"un ensemble de normes professionnelles";"des connaissances administratives et juridiques";"non";"non";"non";"oui";"non";"non";"non";"non";"une solide expérience professionnelle";"surveiller, patrouiller, contrôler, verbaliser";"oui";"non concerné";"en CRS";"remettre à jour des connaissances oubliées";"inutiles";"non réponse";"non réponse";"non réponse";"non réponse";"non réponse";"non réponse";"non réponse";"oui";"Pas de conjoint";"Ouvriers";"Cadres et professions intellectuelles supérieures";"Inactifs";36;"Non";30;14;40;"Non";"Non";"Non";"Oui";"Non";0;"Oui";1;"Non"
"141";1275;"non";"non concerné";"non concerné";"masculin";"moins de 21 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"aucun";"dans une grande ville de province en métropole";"détenteur d'un emploi";"G.A.";"anticipation de carrière";"Employés de commerce";"Techniciens";"Cadres d'entreprise";"service militaire";"oui";"un ou des gendarmes";"autres (généralement collègues du service national)";"publicité";"non";"non concerné";"non concerné";"oui";"vous avez effectué votre service national";"parce qu'on a la sécurité de l'emploi";"non";"à l'afflux d'immigrés";"les immigrés";"plutôt d'accord";"pas vraiment d'accord";"pas vraiment d'accord";"plutôt d'accord";"on se trouve dans des situations variées";"on est mal vu";"oui";"métier comme un autre";"rassurer les honnêtes gens";"faire respecter la loi";"une tâche comme une autre";"une responsabilité importante de la police";"multiplie les patrouilles";"d'être honnête";"d'être craintif";"je m'en tiendrai aux ordres reçus";"non";"non";"non";"non";"non";"non";"oui";"non";"le spécialiste de la voie publique";"un spécialiste de la police judiciaire";"de travailler dans une bonne ambiance";"d'accord avec lui";"rarement";"mener à bien la mission";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt pas d'accord";"plutôt défavorable";"inefficacité";"injustice, favoritisme";"l'influence des médias (presse, télévision, radio)";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"oui";"oui pour emploi, conditions de travail, carrière";"vous plaît";"fonctionnaire de police";"oui";"oui";"oui";"oui";"oui";"inspecteur";"la famille";"qu'ils vous laissent prendre des initiatives";"qu'il soit près de ses hommes";"éviter que le public sache";"oui";"s'est plutôt dégradée";"c'est un renfort appréciable";"utile, la police ne peut pas tout faire";"privé";"un instrument de contrôle supplémentaire";"des connaissances administratives et juridiques";"oui";"oui";"non";"oui";"oui";"oui";"non";"oui";"des connaissances techniques et juridiques";"surveiller, patrouiller, contrôler, verbaliser";"oui";"non concerné";"en CRS";"vous tenir au courant de l'évolution de la législation et de";"pendant la formation continue";"oui";"oui";"oui";"oui";"non";"oui";"non";"non";"Pas de conjoint";"Employés";"Professions intermédiaires";"Cadres et professions intellectuelles supérieures";36;"Non";20;20;12;"Non";"Non";"Non";"Non";"Non";1;"Oui";1;"Non"
